TimeStamp,  ICRB,     ICRO,    ATHN,    CALM,    BKSN,    JUNG,   JUNG1,    LMKS,    IRK2,    DRBS,    NEWK,   KIEL2,    YKTK,    KERG,    CALG,    OULU,    APTY,    TXBY,    FSMT,    INVK,    NAIN,    PWNK,    THUL,    MWSB,    MWSN,    SOPB,    SOPO,    TERA
2025-05-08 17:00:00,  6.850, 40.435, 51.925, 71.074,113.448,171.021,345.472,417.099,327.681,101.027, 87.748,160.263,197.911,202.240,292.130, 96.467,157.345, 91.769,193.828,173.696,191.218,195.614,111.285,   null,   null,123.756,259.197,104.787
2025-05-08 18:00:00,  6.897, 40.514, 51.797, 70.638,113.247,170.968,343.962,414.897,326.120,100.592, 87.569,159.446,196.802,202.567,292.580, 96.440,157.170, 91.518,193.689,172.575,191.066,195.417,110.610,   null,   null,124.320,259.770,105.090
2025-05-08 19:00:00,  6.833, 40.057, 51.668, 70.213,113.292,170.664,342.920,414.359,324.845,100.197, 87.671,159.618,196.987,202.085,295.206, 96.259,156.761, 91.896,193.849,173.324,189.761,195.606,110.992,   null,   null,124.103,258.493,104.689
2025-05-08 20:00:00,  6.931, 40.394, 51.932, 70.256,113.072,170.351,343.054,414.581,326.000,100.082, 87.043,159.381,197.504,201.775,291.873, 96.488,157.281, 91.393,193.265,173.810,190.802,195.406,110.653,   null,   null,123.893,259.273,104.105
2025-05-08 21:00:00,  6.882, 40.496, 51.764, 69.816,113.219,169.847,343.656,414.000,326.802, 99.662, 87.440,159.333,197.153,202.632,293.235, 95.870,156.400, 91.531,193.932,173.819,189.803,195.771,111.041,   null,   null,123.359,258.424,104.296
2025-05-08 22:00:00,  6.899, 40.348, 51.881, 70.191,112.895,170.602,343.240,412.444,324.952,100.612, 87.136,159.405,197.244,202.968,294.503, 95.642,156.809, 91.849,194.593,172.811,190.436,195.514,110.908,   null,   null,123.524,257.677,103.793
2025-05-08 23:00:00,  6.899, 40.294, 51.912, 70.455,112.966,170.223,341.849,414.169,324.215,100.292, 87.395,159.445,197.138,202.698,295.657, 96.049,156.612, 92.158,194.570,174.076,190.157,195.612,110.706,   null,   null,123.275,257.924,104.503
2025-05-09 00:00:00,  6.913, 40.431, 51.609, 70.597,112.073,170.346,343.466,413.668,323.883,100.147, 87.024,158.274,197.489,202.469,293.531, 96.013,156.672, 92.024,195.269,173.325,189.701,195.104,110.930,   null,   null,123.380,258.722,104.744
2025-05-09 01:00:00,  6.782, 40.023, 51.381, 70.740,112.291,169.848,341.845,411.550,326.040,100.201, 86.452,159.683,197.936,200.917,293.551, 96.149,156.556, 91.876,195.243,174.236,189.508,195.913,110.631,   null,   null,123.306,257.591,104.496
2025-05-09 02:00:00,  6.718, 40.062, 51.339, 70.298,112.385,169.246,341.021,411.337,325.593, 99.623, 87.187,158.082,198.036,202.275,292.786, 95.600,156.034, 92.002,194.722,173.723,188.975,195.095,110.801,   null,   null,123.052,257.312,104.273
2025-05-09 03:00:00,  6.877, 39.775, 51.344, 69.922,112.579,169.953,340.779,411.465,324.597, 99.167, 87.234,159.011,197.789,201.063,293.564, 95.384,156.289, 91.898,194.206,173.194,189.337,194.866,110.788,   null,   null,122.752,256.832,104.052
2025-05-09 04:00:00,  6.809, 39.919, 59.615, 69.779,112.770,169.213,340.241,410.988,325.625,100.140, 87.279,159.059,198.558,200.989,292.142, 96.206,155.913, 91.822,194.065,173.399,189.365,195.005,110.849,   null,   null,123.361,257.553,104.647
2025-05-09 05:00:00,  6.767, 39.846, 51.641, 69.902,112.983,169.214,339.620,409.373,326.336, 99.370, 86.456,158.200,198.491,200.772,293.323, 95.898,156.783, 92.067,193.767,174.537,189.874,194.224,110.400,   null,   null,122.941,256.216,104.500
2025-05-09 06:00:00,  6.853, 39.502, 51.607, 69.393,112.830,168.796,338.957,410.216,326.309, 99.213, 86.550,159.137,199.024,201.852,292.974, 95.323,156.861, 91.982,193.739,173.580,189.080,193.541,110.815,   null,   null,123.031,256.072,104.968
2025-05-09 07:00:00,  6.803, 39.957, 51.284, 69.612,112.816,168.618,339.213,410.625,325.821, 99.010, 86.313,158.446,198.053,202.010,292.597, 96.361,156.344, 92.020,193.713,173.253,188.271,194.693,110.817,   null,   null,122.061,255.020,104.645
2025-05-09 08:00:00,  6.735, 39.439, 51.595, 69.857,113.045,168.886,339.139,410.022,325.736, 99.402, 86.148,158.558,198.356,202.438,292.085, 95.887,156.233, 92.251,193.353,173.580,188.831,194.433,110.424,   null,   null,121.851,255.073,104.334
2025-05-09 09:00:00,  6.922, 39.863, 51.489, 70.020,112.946,168.950,339.337,411.080,326.331, 99.444, 86.020,159.023,197.900,201.847,292.068, 96.374,156.290, 91.429,193.991,173.196,187.583,193.454,110.844,   null,   null,121.821,254.861,103.984
2025-05-09 10:00:00,  6.835, 39.614, 51.819, 70.139,112.688,168.965,339.906,411.227,325.320, 99.531, 86.010,158.447,197.920,202.010,291.387, 96.372,156.950, 91.742,191.860,173.068,187.258,193.210,110.233,   null,   null,122.109,255.125,103.830
2025-05-09 11:00:00,  6.858, 39.855, 51.321, 69.904,113.020,168.964,339.884,412.038,325.638, 99.621, 86.193,158.671,198.316,202.153,289.706, 96.343,157.657, 91.838,192.527,172.213,187.744,192.013,110.117,   null,   null,122.021,255.271,103.888
2025-05-09 12:00:00,  6.752, 39.745, 51.478, 69.854,112.840,168.575,340.315,413.676,325.640, 99.893, 86.074,159.065,197.329,201.835,289.444, 96.327,157.076, 91.836,192.593,172.642,187.569,192.164,110.121,   null,   null,121.834,255.262,103.408
2025-05-09 13:00:00,  6.697, 39.876, 51.650, 70.222,112.522,168.927,340.377,413.972,324.304,100.320, 85.936,159.666,198.109,202.297,289.604, 96.077,156.781, 91.707,191.838,171.777,187.760,193.261,110.520,   null,   null,121.776,255.032,103.614
2025-05-09 14:00:00,  6.812, 39.855, 51.776, 70.358,112.300,168.639,340.479,413.230,324.227, 99.782, 86.063,158.657,196.644,202.210,290.870, 96.154,156.368, 91.529,191.908,171.981,187.828,192.352,110.183,   null,   null,121.738,254.645,103.451
2025-05-09 15:00:00,  6.817, 40.027, 51.465, 69.919,111.986,169.107,339.301,413.609,322.936,100.215, 85.938,158.973,195.631,201.917,289.333, 96.191,157.015, 91.082,191.562,171.565,189.142,192.844,110.449,   null,   null,121.838,254.603,103.789
2025-05-09 16:00:00,  6.775, 39.707, 51.790, 70.303,112.315,168.804,340.754,413.768,323.037,100.103, 86.304,158.866,196.282,201.459,289.741, 96.126,157.461, 90.980,192.397,172.302,188.503,193.385,110.463,   null,   null,121.515,254.906,103.998
