mock_cosmic_shower_data
latitude,longitude,intensity,date
20.54,120.12,Low,2025-06-17
48.07,31.97,Low,2025-07-01
-22.37,-170.98,Low,2025-06-29
22.02,3.75,Low,2025-06-26
58.25,-114.59,Moderate,2025-06-07
-7.36,12.03,High,2025-06-30
8.6,146.2,Moderate,2025-06-18
-23.27,128.62,Moderate,2025-06-23
-46.91,-76.31,Moderate,2025-07-03
-27.39,-155.42,Moderate,2025-06-17
-7.41,-69.48,Moderate,2025-06-06
40.31,42.75,Low,2025-06-26
-40.34,-4.9,Low,2025-06-18
22.56,-79.27,Low,2025-07-04
43.8,-25.24,Moderate,2025-07-01
-27.16,-130.13,Low,2025-06-16
-55.56,-74.27,Low,2025-06-20
-34.33,136.82,Moderate,2025-06-15
-15.07,124.65,Moderate,2025-06-05
40.55,72.45,Low,2025-06-21
37.89,-169.02,Moderate,2025-06-22
-27.34,-119.88,Low,2025-06-23
0.8,164.12,Low,2025-06-15
-3.37,93.85,Low,2025-06-20
-12.66,-18.46,Low,2025-06-19
-16.3,6.15,Low,2025-06-08
53.76,-88.72,Low,2025-07-02
42.12,-60.8,Moderate,2025-06-06
-28.43,133.4,Moderate,2025-07-02
11.48,-152.72,Low,2025-06-18
-46.3,35.97,Low,2025-06-27
49.32,-67.83,Moderate,2025-06-11
-51.87,-119.3,High,2025-06-23
5.26,156.36,Low,2025-07-03
-25.75,104.43,Moderate,2025-06-17
57.06,-13.01,Low,2025-06-16
29.65,-97.78,Low,2025-07-01
-46.68,-46.3,Low,2025-07-02
-15.34,121.22,Low,2025-06-19
11.68,-91.94,Low,2025-06-21
-6.3,-115.88,Moderate,2025-06-16
-45.17,100.19,Low,2025-06-18
-3.31,-171.57,Low,2025-07-04
14.32,-42.05,Moderate,2025-06-13
-52.51,-152.9,Low,2025-06-05
2.67,38.56,Low,2025-06-26
23.76,115.28,Moderate,2025-06-27
-38.49,-3.54,Low,2025-06-12
-59.01,97.39,Low,2025-07-02
-41.12,-67.04,Moderate,2025-07-02
38.22,-144.32,Low,2025-06-23
24.02,-127.41,Moderate,2025-07-05
-27.52,75.31,Low,2025-06-08
-18.5,39.01,Low,2025-06-10
-23.64,-39.42,Moderate,2025-06-23
-47.1,129.25,Moderate,2025-06-13
-17.65,115.33,Low,2025-07-04
-14.92,-92.31,High,2025-06-22
48.2,-10.81,Moderate,2025-06-06
-33.71,-62.42,High,2025-07-02
-24.85,47.45,Low,2025-06-25
2.31,-170.35,Low,2025-06-07
24.48,-44.57,Low,2025-06-15
-52.54,28.91,Low,2025-06-19
20.23,-80.05,Low,2025-06-19
-2.12,148.28,Low,2025-06-16
-36.5,134.37,Low,2025-06-25
24.0,-40.0,Low,2025-06-14
-18.42,51.82,Low,2025-06-15
52.26,6.17,Low,2025-06-10
35.72,-63.05,Moderate,2025-06-29
-56.36,94.24,Low,2025-06-28
20.5,-24.21,Low,2025-07-04
-30.31,76.54,Moderate,2025-06-07
26.04,-52.07,Low,2025-07-01
-39.98,-32.62,Moderate,2025-07-03
-33.52,-116.53,Low,2025-06-18
-59.94,-126.16,Moderate,2025-06-24
-22.85,34.7,Moderate,2025-06-26
-44.46,-141.9,Low,2025-07-03
35.87,26.84,Moderate,2025-06-12
49.42,112.08,High,2025-06-17
-15.57,81.45,Moderate,2025-06-19
-26.08,-124.44,Low,2025-06-05
-33.44,-99.22,Low,2025-06-17
49.76,-157.34,Moderate,2025-06-25
39.01,95.27,Moderate,2025-06-10
29.76,172.18,Moderate,2025-06-09
-42.59,-103.13,Moderate,2025-06-25
9.83,-123.45,Low,2025-06-13
-38.91,-137.45,Low,2025-06-28
43.71,-47.73,Moderate,2025-06-09
-54.76,162.29,Low,2025-06-08
-47.84,116.36,Low,2025-06-14
-48.23,156.99,Low,2025-07-03
-39.85,-18.83,Low,2025-07-04
42.71,-99.47,Low,2025-06-26
44.64,77.14,Moderate,2025-06-17
18.52,163.78,Moderate,2025-06-30
-41.87,-115.24,Moderate,2025-06-14
